DATEHOUR,LOAD,LOCATION
2016-01-03 14:00,1958.663527,Far West (Midland)
2016-01-03 14:00,735.0706344,North (Wichita Falls)
2016-01-03 14:00,10604.43797,North Central (DFW)
2016-01-03 14:00,3413.260998,South (Corpus Christi)
2016-01-03 14:00,5327.735361,South Central (Austin)
2016-01-03 15:00,8946.621879,Coast (Houston)
2016-01-03 15:00,1019.126557,East (Tyler)
2016-01-03 15:00,1928.124992,Far West (Midland)
2016-01-03 15:00,717.0407474,North (Wichita Falls)
2016-01-03 15:00,10289.08317,North Central (DFW)
2016-01-03 15:00,3314.596912,South (Corpus Christi)
2016-01-03 15:00,5168.032257,South Central (Austin)
2016-01-03 15:00,969.8056759,West (Abilene)
2016-01-03 16:00,8864.176119,Coast (Houston)
2016-01-03 16:00,1010.106909,East (Tyler)
2016-01-03 16:00,1911.135467,Far West (Midland)
2016-01-03 16:00,711.9865249,North (Wichita Falls)
2016-01-03 16:00,10134.43754,North Central (DFW)
2016-01-03 16:00,3239.230884,South (Corpus Christi)
2016-01-03 16:00,5109.287567,South Central (Austin)
2016-01-03 16:00,957.8685962,West (Abilene)
2016-01-03 17:00,982.5898625,West (Abilene)
2016-01-03 17:00,8870.712515,Coast (Houston)
2016-01-03 17:00,1032.497876,East (Tyler)
2016-01-03 17:00,1902.613383,Far West (Midland)
2016-01-03 17:00,723.9180641,North (Wichita Falls)
2016-01-03 17:00,10253.01667,North Central (DFW)
2016-01-03 17:00,3197.674927,South (Corpus Christi)
2016-01-03 17:00,5171.320492,South Central (Austin)
2016-01-03 18:00,9323.366962,Coast (Houston)
2016-01-03 18:00,1127.097379,East (Tyler)
2016-01-03 18:00,1927.343168,Far West (Midland)
2016-01-03 18:00,778.5602421,North (Wichita Falls)
2016-01-03 18:00,11089.93271,North Central (DFW)
2016-01-03 18:00,3297.967354,South (Corpus Christi)
2016-01-03 18:00,5539.793516,South Central (Austin)
2016-01-03 18:00,1028.148924,West (Abilene)
2016-01-03 19:00,9999.164946,Coast (Houston)
